observationTime,salinity,ph,dissolvedoxygen,dissolvedmethane,cdom,temperature,condition
2024-11-18 08:30:56,34.1775017,8.0316,4.4699998,0.0278111,0.1808,30.2050991,Safe
2024-11-18 08:00:56,34.1775017,8.0316,4.4699998,0.0306196,0.7232,30.2050991,Safe
2024-11-18 07:30:56,34.1775017,8.0316,4.4699998,0.0169023,0.542,30.2050991,Safe
2024-11-18 06:30:56,34.1775017,8.0316,4.4699998,0.1135927,0.362,30.2050991,Safe
2024-11-18 04:00:56,34.114,8.041,4.457,0.132,0.542,30.233,Safe
2024-11-18 03:30:56,34.011,8.044,4.462,0.15,0.271,30.247,Safe
2024-11-18 03:00:56,34.153,8.045,4.421,0.076,0.362,30.238,Safe
2024-11-18 02:30:56,34.094,8.051,4.421,0.019,0.271,30.255,Safe
2024-11-18 02:00:56,33.646,8.055,4.438,0.136,1.175,30.288,Safe
2024-11-18 01:30:56,33.277,8.052,4.456,0.113,1.356,30.212,Safe
2024-11-18 01:00:56,33.811,8.047,4.447,0.05,0.994,30.334,Safe
2024-11-18 00:30:56,33.811,8.047,4.447,0.076,0.452,30.334,Safe
2024-11-18 00:00:56,33.811,8.047,4.447,0.115,0.814,30.334,Safe
2024-11-17 23:30:56,33.27,8.038,4.562,0.123,0.362,30.222,Safe
2024-11-17 23:00:56,33.27,8.038,4.562,0.064,0.181,30.222,Safe
2024-11-17 22:30:56,33.27,8.038,4.562,0.003,0.723,30.222,Safe
2024-11-17 22:00:56,33.27,8.038,4.562,0.139,0.814,30.222,Safe
2024-11-17 21:30:56,33.27,8.038,4.562,0.085,1.085,30.222,Safe
2024-11-17 21:00:56,33.455,8.035,4.528,0.054,0.09,30.272,Safe
2024-11-17 20:30:56,33.069,8.024,4.578,0.013,0.09,30.149,Safe
2024-11-17 20:00:56,33.069,8.024,4.578,0.141,0.723,30.149,Safe
2024-11-17 19:30:56,34.145,8.037,4.529,0.026,0.181,30.296,Safe
2024-11-17 19:00:56,34.091,8.036,4.56,0.129,0.994,30.32,Safe
2024-11-17 18:30:56,34.184,8.038,4.545,0.067,0.814,30.214,Safe
2024-11-17 18:00:56,34.079,8.03,4.578,0.05,0.181,30.291,Safe
2024-11-17 17:30:56,34.012,8.019,4.52,0.098,0.723,30.313,Safe
2024-11-17 17:00:56,34.012,8.019,4.52,0.054,0.904,30.313,Safe
2024-11-17 16:30:56,34.012,8.019,4.52,0.136,0.181,30.313,Safe
2024-11-17 16:00:56,34.059,8.016,4.401,0.154,0.814,30.287,Safe
2024-11-17 15:30:56,34.059,8.016,4.401,0.112,0.904,30.287,Safe
2024-11-17 15:00:56,33.948,8.018,4.411,0.105,0.452,30.327,Safe
2024-11-17 14:30:56,33.948,8.018,4.411,0.03,0.09,30.327,Safe
2024-11-17 14:00:56,33.893,8.017,4.453,0.117,0.181,30.345,Safe
2024-11-17 13:30:56,33.856,8.019,4.466,0.101,0.814,30.359,Safe
2024-11-17 13:00:56,33.822,8.02,4.491,0.078,0.633,30.372,Safe
2024-11-17 12:30:57,33.8,8.022,4.532,0.131,0.904,30.368,Safe
2024-11-17 12:00:56,33.752,8.021,4.588,0.036,0.452,30.368,Safe
2024-11-17 11:30:56,33.581,8.019,4.643,0.059,0.09,30.389,Safe
2024-11-17 11:00:56,33.67,8.017,4.607,0.038,0.452,30.389,Safe
2024-11-17 10:30:56,33.529,8.013,4.669,0.012,0.09,30.391,Safe
2024-11-17 10:00:56,33.612,8.009,4.632,0.131,0.271,30.391,Safe
2024-11-17 09:30:56,33.679,8.007,4.622,0.102,0.181,30.348,Safe
2024-11-17 09:00:56,33.642,7.998,4.627,0.057,0.994,30.334,Safe
2024-11-17 08:30:56,33.632,7.987,4.617,0.079,0.271,30.33,Safe
2024-11-17 08:00:56,33.603,7.983,4.641,0.093,0.814,30.348,Safe
2024-11-17 07:30:56,33.598,7.981,4.595,0.149,0.633,30.332,Safe
2024-11-17 07:00:56,33.401,7.975,4.62,0.132,0.452,30.432,Safe
2024-11-17 06:30:56,33.835,7.981,4.458,0.059,0.3616,30.2,Safe
2024-11-17 06:00:56,33.402,7.969,4.559,0.108,0.9944,30.352,Safe
2024-11-17 05:30:56,33.543,7.974,4.442,0.098,0.0904,30.327,Safe
2024-11-17 05:00:56,33.958,7.983,4.395,0.112,0.181,30.136,Safe
2024-11-17 04:30:56,33.958,7.983,4.395,0.017,0.181,30.136,Safe
2024-11-17 04:00:56,33.917,7.984,4.37,0.141,0.542,30.152,Safe
2024-11-17 03:30:56,33.937,7.988,4.391,0.104,0.181,30.148,Safe
2024-11-17 03:00:56,33.928,7.985,4.341,0.062,0.904,30.16,Safe
2024-11-17 02:30:56,33.905,7.983,4.303,0.133,0.09,30.192,Safe
2024-11-17 02:00:56,33.858,7.984,4.354,0.042,0.994,30.247,Safe
2024-11-17 01:30:56,34.027,7.994,4.202,0.161,0.181,30.098,Safe
2024-11-17 01:00:56,33.873,7.994,4.411,0.069,0.723,30.221,Safe
2024-11-17 00:30:56,33.663,7.992,3.955,0.005,0.362,30.38,Safe
2024-11-17 00:00:56,33.463,7.988,3.979,0.1242326,0.542,30.441,Safe
2024-11-16 23:30:56,33.591,7.99,3.928,0.153862,0.904,30.371,Safe
2024-11-16 23:00:56,33.751,7.991,3.812,0.1090211,0.271,30.272,Safe
2024-11-16 22:30:56,33.68,7.992,3.861,0.057,0.904,30.299,Safe
2024-11-16 22:00:56,33.844,7.996,4.041,0.154,0.09,30.226,Safe
2024-11-16 21:30:56,33.813,7.998,4.225,0.038,0.542,30.224,Safe
2024-11-16 21:00:56,33.904,8.001,4.403,0.11,0.723,30.12,Safe
2024-11-16 20:30:56,33.973,8.003,4.253,0.124,0.362,30.065,Safe
2024-11-16 20:00:56,34.05,8.009,4.259,0.039,0.09,30.003,Safe
2024-11-16 19:30:56,33.904,8.007,4.403,0.093,0.542,30.118,Safe
2024-11-16 19:00:56,33.849,8.007,4.447,0.137,0.362,30.135,Safe
2024-11-16 18:30:56,33.978,8.006,4.456,0.133,0.633,30.048,Safe
2024-11-16 18:00:57,33.962,7.997,4.529,0.06,0.723,30.053,Safe
2024-11-16 17:30:56,33.939,7.99,4.344,0.018,0.09,30.072,Safe
2024-11-16 17:00:56,34.224,7.994,4.094,0.035,0.633,29.839,Safe
2024-11-16 16:30:56,33.711,7.971,4.384,0.127,0.09,30.198,Safe
2024-11-16 16:00:56,34.439,7.992,4.139,0.114,0.814,29.727,Safe
2024-11-16 15:30:56,34.407,7.996,4.036,0.058,0.181,29.744,Safe
2024-11-16 15:00:56,34.364,7.999,4.017,0.137,0.181,29.763,Safe
2024-11-16 14:30:56,34.343,8.01,3.991,0.107,0.994,29.785,Safe
2024-11-16 14:00:56,34.343,8.01,3.991,0.058,0.723,29.785,Safe
2024-11-16 13:30:56,34.351,8.023,4.03,0.038,0.181,29.784,Safe
2024-11-16 13:00:56,34.283,8.026,4.281,0.132,0.09,29.845,Safe
2024-11-16 12:30:56,34.278,8.029,4.442,0.059,0.362,29.85,Safe
2024-11-16 12:00:56,34.2863998,8.0366001,4.7989998,0.054,0.09,29.8490009,Safe
2024-11-16 11:30:56,34.2863998,8.0366001,4.922,0.061,0.09,29.8490009,Safe
2024-11-16 10:00:57,34.2322998,8.0523005,4.643,0.045,0.09,29.8619995,Safe
2024-11-16 09:30:56,33.745,8.041,4.643,0.112,0.181,30.131,Safe
2024-11-16 09:00:56,33.523,8.04,4.76,0.07,0.814,30.249,Safe
2024-11-16 08:30:56,33.523,8.04,4.707,0.143,0.904,30.249,Safe
2024-11-16 08:00:56,33.261,8.029,4.511,0.127,0.904,30.355,Safe
2024-11-16 07:30:56,33.296,8.02,4.511,0.111,0.633,30.337,Safe
2024-11-16 07:00:56,33.595,8.035,4.511,0.093,0.542,30.177,Safe
2024-11-16 06:30:56,33.595,8.035,4.519,0.044,0.814,30.177,Safe
2024-11-16 06:00:56,33.595,8.035,4.458,0.073,0.633,30.177,Safe
2024-11-16 05:30:56,33.486,8.03,4.412,0.097,0.09,30.214,Safe
