observationTime,salinity,ph,dissolvedoxygen,dissolvedmethane,cdom,temperature,condition
2024-04-12 19:00:56,34.499,7.918,4.826,2.145,0.362,31.381,Safe
2024-04-12 18:30:56,34.501,7.923,4.863,2.261,0.633,31.403,Safe
2024-04-12 18:00:56,34.514,7.926,4.897,2.1366405,0.452,31.433,Safe
2024-04-12 17:30:55,34.488,7.933,4.8940001,1.823,0.362,31.436,Safe
2024-04-12 17:00:56,34.483,7.924,4.977,2.288,0.633,31.439,Safe
2024-04-12 16:30:56,34.5172997,7.924,5.047,2.271,0.271,31.432,Unsafe
2024-04-12 16:00:56,34.476,7.921,5.047,1.789,0.542,31.431,Unsafe
2024-04-12 15:30:56,34.482,7.919,4.977,2.208,0.452,31.4316006,Safe
2024-04-12 15:00:56,34.489,7.914,5.101,2.018,0.362,31.417,Unsafe
2024-04-12 14:30:56,34.505,7.921,5.108,2.068,0.633,31.403,Unsafe
2024-04-12 14:00:56,34.469,7.909,4.93,2.284,0.452,31.398,Safe
2024-04-12 13:30:56,34.498,7.911,5.185,2.152,0.542,31.3682003,Unsafe
2024-04-12 13:00:56,34.497,7.891,4.992,1.612,0.452,31.36,Safe
2024-04-12 12:30:56,34.457,7.875,4.977,1.913,0.452,31.346,Safe
2024-04-12 12:00:56,34.472,7.876,5.117,1.762,0.542,31.354,Unsafe
2024-04-12 11:30:56,34.476,7.878,4.979,1.829,0.271,31.345,Safe
2024-04-12 11:00:56,34.471,7.8712001,4.732,1.942,0.362,31.331,Safe
2024-04-12 10:30:56,34.459,7.879,4.994,1.658,0.723,31.346,Safe
2024-04-12 10:00:57,34.471,7.877,5.084,1.843,0.542,31.364,Unsafe
2024-04-12 09:30:56,34.451,7.878,5.008,1.867,0.633,31.372,Unsafe
2024-04-12 09:00:56,34.436,7.877,4.782,1.524,0.271,31.394,Safe
2024-04-12 08:30:56,34.429,7.88,4.78,1.704,0.542,31.254,Safe
2024-04-12 08:00:56,34.453,7.88,4.535,1.901,0.633,31.293,Safe
2024-04-12 07:30:56,34.429,7.879,4.636,1.673,0.542,31.177,Safe
2024-04-12 07:00:56,34.453,7.879,4.722,1.726,0.452,31.101,Safe
2024-04-12 06:30:56,34.44,7.88,4.571,1.911,0.814,31.195,Safe
2024-04-12 06:00:56,34.422,7.88,4.518,1.481,0.633,31.165,Safe
2024-04-12 05:30:56,34.441,7.883,4.517,1.809,0.633,31.083,Safe
2024-04-12 05:00:56,34.425,7.883,4.556,1.876,0.362,31.073,Safe
2024-04-12 04:30:56,34.426,7.88,4.514,1.931,0.633,31.066,Safe
2024-04-12 04:00:56,34.421,7.881,4.497,2.021,0.181,31.063,Safe
2024-04-12 03:30:56,34.436,7.874,4.474,1.904,0.362,31.106,Safe
2024-04-12 03:00:56,34.454,7.875,4.433,1.629,0.452,31.116,Safe
2024-04-12 02:30:56,34.472,7.879,4.398,2.078,0.542,31.11,Safe
2024-04-12 02:00:56,34.464,7.88,4.423,1.358,0.362,31.257,Safe
2024-04-12 01:30:56,34.461,7.875,4.428,1.776,0.362,31.189,Safe
2024-04-12 01:00:56,34.443,7.873,4.416,1.91,0.542,31.154,Safe
2024-04-12 00:30:56,34.436,7.87,4.413,1.728,0.271,31.363,Safe
2024-04-12 00:00:56,34.436,7.867,4.432,1.652,0.271,31.262,Safe
2024-04-11 23:30:56,34.447,7.896,4.435,1.895,0.181,31.388,Safe
2024-04-11 23:00:56,34.422,7.873,4.478,1.905,0.271,31.369,Safe
2024-04-11 22:30:56,34.459,7.882,4.485,1.975,0.452,31.427,Safe
2024-04-11 22:00:56,34.482,7.872,4.508,1.918,0.542,31.542,Safe
2024-04-11 21:30:56,34.52,7.874,4.553,1.818,0.09,31.483,Safe
2024-04-11 21:00:56,34.533,7.875,4.629,1.984,0.181,31.497,Safe
2024-04-11 20:30:56,34.546,7.8678999,4.642,2.147,0.362,31.511,Safe
2024-04-11 20:00:56,34.594,7.8698001,4.661,1.858,0.542,31.528,Safe
2024-04-11 19:30:56,34.593,7.863,4.767,2.067,0.362,31.534,Safe
2024-04-11 19:00:56,34.594,7.863,4.716,1.918,0.542,31.502,Safe
2024-04-11 18:30:56,34.581,7.861,4.725,1.832,0.362,31.482,Safe
