observationTime,salinity,ph,dissolvedoxygen,dissolvedmethane,cdom,temperature
2024-11-18 08:30:56,34.1775017,8.0316000,4.4699998,0.0278111,0.1808000,30.2050991
2024-11-18 08:00:56,34.1775017,8.0316000,4.4699998,0.0306196,0.7232000,30.2050991
2024-11-18 07:30:56,34.1775017,8.0316000,4.4699998,0.0169023,0.5420000,30.2050991
2024-11-18 06:30:56,34.1775017,8.0316000,4.4699998,0.1135927,0.3620000,30.2050991
2024-11-18 04:00:56,34.1140000,8.0410000,4.4570000,0.1320000,0.5420000,30.2330000
2024-11-18 03:30:56,34.0110000,8.0440000,4.4620000,0.1500000,0.2710000,30.2470000
2024-11-18 03:00:56,34.1530000,8.0450000,4.4210000,0.0760000,0.3620000,30.2380000
2024-11-18 02:30:56,34.0940000,8.0510000,4.4210000,0.0190000,0.2710000,30.2550000
2024-11-18 02:00:56,33.6460000,8.0550000,4.4380000,0.1360000,1.1750000,30.2880000
2024-11-18 01:30:56,33.2770000,8.0520000,4.4560000,0.1130000,1.3560000,30.2120000
2024-11-18 01:00:56,33.8110000,8.0470000,4.4470000,0.0500000,0.9940000,30.3340000
2024-11-18 00:30:56,33.8110000,8.0470000,4.4470000,0.0760000,0.4520000,30.3340000
2024-11-18 00:00:56,33.8110000,8.0470000,4.4470000,0.1150000,0.8140000,30.3340000
2024-11-17 23:30:56,33.2700000,8.0380000,4.5620000,0.1230000,0.3620000,30.2220000
2024-11-17 23:00:56,33.2700000,8.0380000,4.5620000,0.0640000,0.1810000,30.2220000
2024-11-17 22:30:56,33.2700000,8.0380000,4.5620000,0.0030000,0.7230000,30.2220000
2024-11-17 22:00:56,33.2700000,8.0380000,4.5620000,0.1390000,0.8140000,30.2220000
2024-11-17 21:30:56,33.2700000,8.0380000,4.5620000,0.0850000,1.0850000,30.2220000
2024-11-17 21:00:56,33.4550000,8.0350000,4.5280000,0.0540000,0.0900000,30.2720000
2024-11-17 20:30:56,33.0690000,8.0240000,4.5780000,0.0130000,0.0900000,30.1490000
2024-11-17 20:00:56,33.0690000,8.0240000,4.5780000,0.1410000,0.7230000,30.1490000
2024-11-17 19:30:56,34.1450000,8.0370000,4.5290000,0.0260000,0.1810000,30.2960000
2024-11-17 19:00:56,34.0910000,8.0360000,4.5600000,0.1290000,0.9940000,30.3200000
2024-11-17 18:30:56,34.1840000,8.0380000,4.5450000,0.0670000,0.8140000,30.2140000
2024-11-17 18:00:56,34.0790000,8.0300000,4.5780000,0.0500000,0.1810000,30.2910000
2024-11-17 17:30:56,34.0120000,8.0190000,4.5200000,0.0980000,0.7230000,30.3130000
2024-11-17 17:00:56,34.0120000,8.0190000,4.5200000,0.0540000,0.9040000,30.3130000
2024-11-17 16:30:56,34.0120000,8.0190000,4.5200000,0.1360000,0.1810000,30.3130000
2024-11-17 16:00:56,34.0590000,8.0160000,4.4010000,0.1540000,0.8140000,30.2870000
2024-11-17 15:30:56,34.0590000,8.0160000,4.4010000,0.1120000,0.9040000,30.2870000
2024-11-17 15:00:56,33.9480000,8.0180000,4.4110000,0.1050000,0.4520000,30.3270000
2024-11-17 14:30:56,33.9480000,8.0180000,4.4110000,0.0300000,0.0900000,30.3270000
2024-11-17 14:00:56,33.8930000,8.0170000,4.4530000,0.1170000,0.1810000,30.3450000
2024-11-17 13:30:56,33.8560000,8.0190000,4.4660000,0.1010000,0.8140000,30.3590000
2024-11-17 13:00:56,33.8220000,8.0200000,4.4910000,0.0780000,0.6330000,30.3720000
2024-11-17 12:30:57,33.8000000,8.0220000,4.5320000,0.1310000,0.9040000,30.3680000
2024-11-17 12:00:56,33.7520000,8.0210000,4.5880000,0.0360000,0.4520000,30.3680000
2024-11-17 11:30:56,33.5810000,8.0190000,4.6430000,0.0590000,0.0900000,30.3890000
2024-11-17 11:00:56,33.6700000,8.0170000,4.6070000,0.0380000,0.4520000,30.3890000
2024-11-17 10:30:56,33.5290000,8.0130000,4.6690000,0.0120000,0.0900000,30.3910000
2024-11-17 10:00:56,33.6120000,8.0090000,4.6320000,0.1310000,0.2710000,30.3910000
2024-11-17 09:30:56,33.6790000,8.0070000,4.6220000,0.1020000,0.1810000,30.3480000
2024-11-17 09:00:56,33.6420000,7.9980000,4.6270000,0.0570000,0.9940000,30.3340000
2024-11-17 08:30:56,33.6320000,7.9870000,4.6170000,0.0790000,0.2710000,30.3300000
2024-11-17 08:00:56,33.6030000,7.9830000,4.6410000,0.0930000,0.8140000,30.3480000
2024-11-17 07:30:56,33.5980000,7.9810000,4.5950000,0.1490000,0.6330000,30.3320000
2024-11-17 07:00:56,33.4010000,7.9750000,4.6200000,0.1320000,0.4520000,30.4320000
2024-11-17 06:30:56,33.8350000,7.9810000,4.4580000,0.0590000,0.3616000,30.2000000
2024-11-17 06:00:56,33.4020000,7.9690000,4.5590000,0.1080000,0.9944000,30.3520000
2024-11-17 05:30:56,33.5430000,7.9740000,4.4420000,0.0980000,0.0904000,30.3270000
2024-11-17 05:00:56,33.9580000,7.9830000,4.3950000,0.1120000,0.1810000,30.1360000
2024-11-17 04:30:56,33.9580000,7.9830000,4.3950000,0.0170000,0.1810000,30.1360000
2024-11-17 04:00:56,33.9170000,7.9840000,4.3700000,0.1410000,0.5420000,30.1520000
2024-11-17 03:30:56,33.9370000,7.9880000,4.3910000,0.1040000,0.1810000,30.1480000
2024-11-17 03:00:56,33.9280000,7.9850000,4.3410000,0.0620000,0.9040000,30.1600000
2024-11-17 02:30:56,33.9050000,7.9830000,4.3030000,0.1330000,0.0900000,30.1920000
2024-11-17 02:00:56,33.8580000,7.9840000,4.3540000,0.0420000,0.9940000,30.2470000
2024-11-17 01:30:56,34.0270000,7.9940000,4.2020000,0.1610000,0.1810000,30.0980000
2024-11-17 01:00:56,33.8730000,7.9940000,4.4110000,0.0690000,0.7230000,30.2210000
2024-11-17 00:30:56,33.6630000,7.9920000,3.9550000,0.0050000,0.3620000,30.3800000
2024-11-17 00:00:56,33.4630000,7.9880000,3.9790000,0.1242326,0.5420000,30.4410000
2024-11-16 23:30:56,33.5910000,7.9900000,3.9280000,0.1538620,0.9040000,30.3710000
2024-11-16 23:00:56,33.7510000,7.9910000,3.8120000,0.1090211,0.2710000,30.2720000
2024-11-16 22:30:56,33.6800000,7.9920000,3.8610000,0.0570000,0.9040000,30.2990000
2024-11-16 22:00:56,33.8440000,7.9960000,4.0410000,0.1540000,0.0900000,30.2260000
2024-11-16 21:30:56,33.8130000,7.9980000,4.2250000,0.0380000,0.5420000,30.2240000
2024-11-16 21:00:56,33.9040000,8.0010000,4.4030000,0.1100000,0.7230000,30.1200000
2024-11-16 20:30:56,33.9730000,8.0030000,4.2530000,0.1240000,0.3620000,30.0650000
2024-11-16 20:00:56,34.0500000,8.0090000,4.2590000,0.0390000,0.0900000,30.0030000
2024-11-16 19:30:56,33.9040000,8.0070000,4.4030000,0.0930000,0.5420000,30.1180000
2024-11-16 19:00:56,33.8490000,8.0070000,4.4470000,0.1370000,0.3620000,30.1350000
2024-11-16 18:30:56,33.9780000,8.0060000,4.4560000,0.1330000,0.6330000,30.0480000
2024-11-16 18:00:57,33.9620000,7.9970000,4.5290000,0.0600000,0.7230000,30.0530000
2024-11-16 17:30:56,33.9390000,7.9900000,4.3440000,0.0180000,0.0900000,30.0720000
2024-11-16 17:00:56,34.2240000,7.9940000,4.0940000,0.0350000,0.6330000,29.8390000
2024-11-16 16:30:56,33.7110000,7.9710000,4.3840000,0.1270000,0.0900000,30.1980000
2024-11-16 16:00:56,34.4390000,7.9920000,4.1390000,0.1140000,0.8140000,29.7270000
2024-11-16 15:30:56,34.4070000,7.9960000,4.0360000,0.0580000,0.1810000,29.7440000
2024-11-16 15:00:56,34.3640000,7.9990000,4.0170000,0.1370000,0.1810000,29.7630000
2024-11-16 14:30:56,34.3430000,8.0100000,3.9910000,0.1070000,0.9940000,29.7850000
2024-11-16 14:00:56,34.3430000,8.0100000,3.9910000,0.0580000,0.7230000,29.7850000
2024-11-16 13:30:56,34.3510000,8.0230000,4.0300000,0.0380000,0.1810000,29.7840000
2024-11-16 13:00:56,34.2830000,8.0260000,4.2810000,0.1320000,0.0900000,29.8450000
2024-11-16 12:30:56,34.2780000,8.0290000,4.4420000,0.0590000,0.3620000,29.8500000
2024-11-16 12:00:56,34.2863998,8.0366001,4.7989998,0.0540000,0.0900000,29.8490009
2024-11-16 11:30:56,34.2863998,8.0366001,4.9220000,0.0610000,0.0900000,29.8490009
2024-11-16 10:00:57,34.2322998,8.0523005,4.6430000,0.0450000,0.0900000,29.8619995
2024-11-16 09:30:56,33.7450000,8.0410000,4.6430000,0.1120000,0.1810000,30.1310000
2024-11-16 09:00:56,33.5230000,8.0400000,4.7600000,0.0700000,0.8140000,30.2490000
2024-11-16 08:30:56,33.5230000,8.0400000,4.7070000,0.1430000,0.9040000,30.2490000
2024-11-16 08:00:56,33.2610000,8.0290000,4.5110000,0.1270000,0.9040000,30.3550000
2024-11-16 07:30:56,33.2960000,8.0200000,4.5110000,0.1110000,0.6330000,30.3370000
2024-11-16 07:00:56,33.5950000,8.0350000,4.5110000,0.0930000,0.5420000,30.1770000
2024-11-16 06:30:56,33.5950000,8.0350000,4.5190000,0.0440000,0.8140000,30.1770000
2024-11-16 06:00:56,33.5950000,8.0350000,4.4580000,0.0730000,0.6330000,30.1770000
2024-11-16 05:30:56,33.4860000,8.0300000,4.4120000,0.0970000,0.0900000,30.2140000
2024-11-16 05:00:56,33.6000000,8.0310000,4.3490000,0.0190000,0.3620000,30.1660000
2024-11-16 04:30:56,33.6580000,8.0310000,4.3650000,0.1330000,0.2710000,30.1170000
2024-11-16 04:00:56,33.7260000,8.0320000,4.3710000,0.1320000,0.2712000,30.0630000
2024-11-16 03:30:56,33.6630000,8.0300000,4.3690000,0.0510000,0.0904000,30.1000000
2024-11-16 03:00:56,33.6350000,8.0280000,4.3370000,0.1360000,0.6330000,30.1130000
2024-11-16 02:30:57,33.7360000,8.0330000,4.3190000,0.0630000,0.0900000,30.0460000
2024-11-16 02:00:56,33.7420000,8.0330000,4.3680000,0.1640000,0.3620000,30.0530000
2024-11-16 01:30:56,33.7130000,8.0300000,4.2950000,0.1080000,1.1750000,30.0710000
2024-11-16 01:00:56,33.6150000,8.0280000,4.3380000,0.0960000,0.1810000,30.1370000
2024-11-16 00:30:56,33.9100000,8.0370000,4.3500000,0.0110000,0.2710000,29.9630000
2024-11-16 00:00:56,33.7780000,8.0360000,4.3890000,0.1460000,0.2710000,30.0260000
2024-11-15 23:30:56,33.7900000,8.0420000,4.4450000,0.1390000,1.2660000,30.0190000
2024-11-15 23:00:56,33.6950000,8.0430000,4.3960000,0.0360000,0.0900000,30.0620000
2024-11-15 22:30:56,33.6070000,8.0430000,4.4960000,0.1430000,0.9940000,30.1050000
2024-11-15 22:00:56,33.7200000,8.0440000,4.5290000,0.0470000,0.9940000,30.0480000
2024-11-15 21:30:56,33.4960000,8.0440000,4.5290000,0.0860000,0.2710000,30.1980000
2024-11-15 21:00:56,33.4680000,8.0430000,4.5490000,0.0210000,0.9940000,30.2150000
2024-11-15 20:30:56,33.4300000,8.0420000,4.5620000,0.1240000,0.0900000,30.2220000
2024-11-15 20:00:56,33.4510000,8.0430000,4.5740000,0.0950000,0.0900000,30.2250000
2024-11-15 19:30:56,33.4460000,8.0420000,4.5670000,0.1190000,1.5370000,30.2220000
2024-11-15 19:00:56,33.4420000,8.0400000,4.5770000,0.0780000,0.0900000,30.2170000
2024-11-15 18:30:56,33.4550000,8.0380000,4.6150000,0.0380000,0.1810000,30.2280000
2024-11-15 18:00:56,33.4620000,8.0370000,4.6390000,0.1180000,0.9940000,30.2330000
2024-11-15 17:30:56,33.4280000,8.0340000,4.6220000,0.0310000,1.2660000,30.2430000
2024-11-15 17:00:56,33.4080000,8.0280000,4.6220000,0.0760000,0.7230000,30.2420000
2024-11-15 16:30:56,33.4580000,8.0200000,4.6200000,0.0160000,0.6330000,30.2560000
2024-11-15 16:00:56,33.4580000,8.0200000,4.6260000,0.0640000,0.1810000,30.2560000
2024-11-15 15:30:56,33.3530000,8.0140000,4.6280000,0.0700000,0.2710000,30.2000000
2024-11-15 15:00:56,33.3480000,8.0100000,4.6440000,0.1500000,0.1810000,30.2390000
2024-11-15 14:30:56,33.3650000,8.0030000,4.5390000,0.1090000,0.0900000,30.2620000
2024-11-15 14:00:56,33.3610000,8.0020000,4.7030000,0.0370000,0.0900000,30.2830000
2024-11-15 13:30:56,33.5400000,8.0030000,4.8820000,0.1550000,0.3620000,30.2120000
2024-11-15 13:00:56,33.4810000,8.0010000,4.7580000,0.0550000,0.6330000,30.2710000
2024-11-15 12:30:56,33.3660000,8.0010000,4.6500000,0.1670000,0.7230000,30.3100000
2024-11-15 12:00:56,33.4180000,7.9950000,3.9600000,0.0860000,0.1810000,30.2970000
2024-11-15 11:30:56,33.4500000,7.9990000,3.7840000,0.0810000,0.1810000,30.2790000
